Ki_l, D_eff_l_xx
0.01013988857141714,0.666930693069307
0.012489093588633161,0.666930693069307
0.015597745866563779,0.666930693069307
0.019211424911349473,0.666930693069307
0.02399332836888419,0.6672277227722773
0.029965492350180135,0.6672277227722773
0.03742418383908706,0.6675247524752476
0.04609460263321695,0.6678217821782179
0.05756798062171028,0.6678217821782179
0.07189718976931588,0.6681188118811882
0.08855429973065382,0.6687128712871288
0.11059629370120062,0.669009900990099
0.13621919539468993,0.6696039603960396
0.17012542798525893,0.6704950495049505
0.21247123919141686,0.6713861386138614
0.2616964843809525,0.6722772277227723
0.3223262131758526,0.6734653465346535
0.39700261142616694,0.674950495049505
0.48223410150691404,0.6764356435643565
0.5857637253840317,0.6785148514851486
0.7115198632854464,0.6808910891089109
0.8523508551423101,0.6832673267326733
1.021056498559579,0.6862376237623763
1.2062795458049873,0.6892079207920793
1.4251026703029979,0.6924752475247525
1.6603940231109204,0.6957425742574258
1.9078445529120156,0.6990099009900991
2.2228389285147587,0.7028712871287129
2.5541113029436415,0.7067326732673268
2.854337209262107,0.7100000000000001
3.2344759148768216,0.7138613861386139
3.665241237079626,0.7180198019801981
4.21147657239172,0.721881188118812
4.706519356716764,0.7254455445544555
5.333330432299326,0.7296039603960396
5.960242799386662,0.7331683168316832
6.660846290809154,0.7373267326732673
7.5479333101951305,0.7411881188118812
8.553161980897817,0.7453465346534653
9.69226632840833,0.7489108910891089
10.831554753064168,0.7527722772277228
12.274093914262002,0.7563366336633663
14.103316977967063,0.7604950495049505
15.981587227004837,0.7637623762376238
18.620224678901728,0.7676237623762376
21.39521928721577,0.7708910891089109
24.92767361111432,0.7741584158415842
29.449636571541138,0.7774257425742575
34.79189866354657,0.7803960396039604
41.10326487982014,0.7830693069306931
49.927621224242415,0.7857425742574258
59.8097858423834,0.7878217821782179
73.66649126768836,0.7901980198019802
89.48176461616886,0.791683168316831
