Pe_p, D_eff_l_xx
1.0308638736e-1,5.9102864955e-1
1.8089465828e-1,5.8958221545e-1
2.9870846132e-1,6.0021916333e-1
4.7126732222e-1,5.9902786610e-1
6.8910250458e-1,6.1015840281e-1
9.0593222773e-1,6.2178393165e-1
1.6140641522e+0,7.1375432614e-1
2.1219379168e+0,7.8814121577e-1
3.1027670795e+0,9.8117297976e-1
4.3347464177e+0,1.2717524915e+0
6.9435914292e+0,2.1817506918e+0
1.0000000000e+1,3.6702392722e+0
1.2752947184e+1,5.4767906479e+0
2.7267389657e+1,2.0939489214e+1
4.7848462446e+1,6.0502812456e+1
8.9226744863e+1,1.9321595390e+2
1.2092281559e+2,3.3843594047e+2
1.9666603994e+2,8.5001694474e+2
3.7235491920e+2,2.7143524732e+3
5.9645482721e+2,6.0444741974e+3
9.7006018507e+2,1.2929831303e+4
