Da, Ki_eff_l_div_Pe_l
0.010700689556931762, 0.0000773413978543449
0.029552092352028894, 0.00021192405610230675
0.07626985859023451, 0.0005472646861048349
0.20133606143505714, 0.001413235675863241
0.5949901881322569, 0.004232621581966687
1.7190722018585747, 0.011597855204089149
4.337653951100774, 0.02740111531232197
10.700689556931756, 0.059228698410707124
28.247524380591152, 0.11370877776794519
69.68467115083241, 0.16717678371717737
258.0861540418074, 0.22486990192116685
1022.8310927967664, 0.23163643214555346
2639.785429742962, 0.23860657312836694
9558.553094685303, 0.23860657312836694
