ki_d,sc,epsilon,as,df,ki_eff_d_xx,d_eff_d_xx,re_d,pe_d,k_d_xx
0.01,1000.0,0.600088957507636,2.24187182880897,0.713649646461108,0.009988808985500029,0.709607959467196,9.73741602727415e-6,0.00973741602727415,0.00898997499385891
1.0,1000.0,0.775084955977613,1.68133862559642,0.535237234845831,0.8468195101847208,0.935204718861516,0.000974892058745934,0.974892058745934,0.056961898922110135
0.1,1000.0,0.687588988569921,1.98152256343157,0.63078313050504,0.09874888325426812,6.00606959434412,0.00972859593906889,9.72859593906889,0.022306105305456063
10.0,1000.0,0.862583630606588,1.31428705422685,0.4184141935942,2.778402090992085,0.975248239928418,9.56678370765416e-5,0.0956678370765416,0.17197785016892095
31.6227766016838,1000.0,0.643837145264017,2.1157083844726,0.673492084446359,6.831898417269596,1.29073161615615,0.00307153660099648,3.07153660099648,0.014190600666979828
0.316227766016838,1000.0,0.818838614912773,1.50900558736799,0.480390120093293,0.2960543901173428,0.86174693729503,3.06357695409356e-5,0.0306357695409356,0.09555216372318658
3.16227766016838,1000.0,0.731335268894652,1.83757348841953,0.584964210569822,2.1071407140932057,0.895712344217759,0.000308411100565812,0.308411100565812,0.03529606502704311
0.0316227766016838,1000.0,0.90633739763801,1.08514886459418,0.345494149471335,0.03135143431075017,43.1800518799844,0.029919878010983,29.919878010983,0.35453930131631234
5.62341325190349,1000.0,0.621963144443727,2.17970297237248,0.693861443555544,3.6234951085165106,89.7652765999585,0.0546547934228356,54.6547934228356,0.011308640112197912
0.0562341325190349,1000.0,0.796961910598544,1.59749739664177,0.508553618141027,0.05561719818608388,0.862377710791908,0.000546959799991745,0.546959799991745,0.07330581532847244
56.2341325190349,1000.0,0.709462292893325,1.91090370398334,0.608305221651645,6.027024268419299,0.986432271274738,5.47842322228526e-5,0.0547842322228526,0.028015982043448708
0.562341325190349,1000.0,0.884464863492541,1.20516468974713,0.383690399098027,0.48868763783901215,2.41178246817737,0.0053434959770184,5.3434959770184,0.24117787273582894
0.177827941003892,1000.0,0.665710934753097,2.04971710641257,0.652487143759032,0.1737739076065725,0.762122129462329,0.000172789727346528,0.172789727346528,0.017788000929418818
17.7827941003892,1000.0,0.840708584220777,1.41500534061437,0.450469258043395,3.764364894036288,9.48997999130594,0.0171286226810853,17.1286226810853,0.12669227642978875
0.0177827941003892,1000.0,0.753212813529655,1.76118453806301,0.560652309909175,0.017730821478363808,1.06351475384916,0.00173485765343627,1.73485765343627,0.04468169958801403
1.77827941003892,1000.0,0.928206848502915,0.950101868226433,0.302512962164995,1.064899950444983,0.962149889082864,1.68813659491984e-5,0.0168813659491984,0.5608273139606358
0.421696503428582,1000.0,0.611024025075786,2.21100879735307,0.703825092173847,0.4028945126277042,0.943881268772605,0.00129719885244749,1.29719885244749,0.010087652187143796
42.1696503428582,1000.0,0.786023456122654,1.63995384377102,0.522065934576152,4.670856249789175,0.987974389217676,1.29880888573143e-5,0.0129880888573143,0.06453416363647314
0.0421696503428582,1000.0,0.698523373969974,1.94653706899196,0.619646108846975,0.041915584279591384,0.771768098248428,0.000129821119468398,0.129821119468398,0.024990647343725542
4.21696503428582,1000.0,0.8735207583509,1.26091558750394,0.401427926134374,2.075520641682308,6.91027447827689,0.012712841562032,12.712841562032,0.2026793004910663
1.33352143216332,1000.0,0.654776245702966,2.0829707709764,0.663072794111899,1.1397885376779504,0.805475433953484,4.0962135198078e-5,0.040962135198078,0.01588881328450987
0.0133352143216332,1000.0,0.829776820392792,1.46275382386766,0.465670065564352,0.01329758182366177,1.8539698387529,0.00407458215314439,4.07458215314439,0.10976180746201025
13.3352143216332,1000.0,0.742274039154394,1.79978433825198,0.572937230529693,4.61365643560956,44.5548952988044,0.0411395478116083,41.1395478116083,0.03968399769507587
0.133352143216332,1000.0,0.917272611934109,1.01986162662572,0.324715490542691,0.12742801197161965,0.940509917051384,0.000399082565722433,0.399082565722433,0.4407852733920886
23.7137370566166,1000.0,0.632898094811057,2.14794701735468,0.683752619982141,6.205768902913854,0.979805290269244,0.000728494047594168,0.728494047594168,0.01267053001844857
0.237137370566166,1000.0,0.807900303453783,1.55388147613243,0.494672341053944,0.2274756265779401,185.571615114593,0.0728101180063192,72.8101180063192,0.0835415799788796
2.37137370566166,1000.0,0.720401239140363,1.8745930755895,0.596748845971331,1.7800018652317255,3.41703559595452,0.00730932386414436,7.30932386414436,0.031427980031823594
0.0237137370566166,1000.0,0.895401425695352,1.14672714260691,0.365092131987889,0.023542317114690535,0.906586938459161,7.10662721658046e-5,0.0710662721658046,0.2903448094488711
0.0749894209332456,1000.0,0.676649940862937,2.01590825028865,0.641726900831093,0.0743139700367122,24.4068081765532,0.0230570056443314,23.0570056443314,0.019919254710829126
7.49894209332456,1000.0,0.851646220364388,1.36557481590367,0.434737271143878,2.628435823255508,0.96858629102935,0.000227665344736738,0.227665344736738,0.14710515043034297
0.749894209332456,1000.0,0.764151585782083,1.7217195774023,0.548092104564509,0.6622516655118231,0.844898075005516,2.3131182968656e-5,0.023131182968656,0.05039924394363453
74.9894209332456,1000.0,0.939149174211185,0.874767707268734,0.278546288356709,2.4848254574511044,1.22797203405111,0.00226846082614994,2.26846082614994,0.7357907153364603
64.9381631576211,1000.0,0.605556491291712,2.22649379055725,0.708754392673368,9.21554225789497,6.55638596205291,0.0149868591048033,14.9868591048033,0.009524105971189597
0.649381631576211,1000.0,0.780556902081989,1.66077004754512,0.52869260331987,0.5791613765680529,0.852827866976583,0.000150059177966951,0.150059177966951,0.060610098337194586
