ki_d,sc,epsilon,as,df,Ki_eff_l_vam,D_eff_l_xx_vam,Re_d_1,Pe_d_1,K_xx_1
0.01,1000,0.600088957507636,2.24187182880897,0.713649646461108,0.0139967966565011,0.709607959467196,9.73741602727415e-06,0.00973741602727415,0.00457855666734456
1,1000,0.775084955977613,1.68133862559642,0.535237234845831,1.58213863881992,0.935204718861516,0.000974892058745934,0.974892058745934,0.0163183820064385
0.1,1000,0.687588988569921,1.98152256343157,0.63078313050504,0.1565496578439,6.00606959434412,0.00972859593906889,9.72859593906889,0.00887531730122921
10,1000,0.862583630606588,1.31428705422685,0.4184141935942,6.64031510768185,0.975248239928418,9.56678370765416e-05,0.0956678370765416,0.0301082374523712
31.6227766016838,1000,0.643837145264017,2.1157083844726,0.673492084446359,10.1439921493446,1.29073161615615,0.00307153660099648,3.07153660099648,0.00643673708854001
0.316227766016838,1000,0.818838614912773,1.50900558736799,0.480390120093293,0.616279098454082,0.86174693729503,3.06357695409356e-05,0.0306357695409356,0.0220510188105233
3.16227766016838,1000,0.731335268894652,1.83757348841953,0.584964210569822,3.6021703140447,0.895712344217759,0.000308411100565812,0.308411100565812,0.0120777179246058
0.0316227766016838,1000,0.90633739763801,1.08514886459418,0.345494149471335,0.0907437487978399,43.1800518799844,0.029919878010983,29.919878010983,0.0423200117436284
5.62341325190349,1000,0.621963144443727,2.17970297237248,0.693861443555544,5.22221711866376,89.7652765999585,0.0546547934228356,54.6547934228356,0.00544447356984834
0.0562341325190349,1000,0.796961910598544,1.59749739664177,0.508553618141027,0.109363489319745,0.862377710791908,0.000546959799991745,0.546959799991745,0.0189588471587255
56.2341325190349,1000,0.709462292893325,1.91090370398334,0.608305221651645,9.90789500713963,0.986432271274738,5.47842322228526e-05,0.0547842322228526,0.0103669007146086
0.562341325190349,1000,0.884464863492541,1.20516468974713,0.383690399098027,1.27365094093522,2.41178246817737,0.0053434959770184,5.3434959770184,0.0355058018145231
0.177827941003892,1000,0.665710934753097,2.04971710641257,0.652487143759032,0.266325412337547,0.762122129462329,0.000172789727346528,0.172789727346528,0.00757305413733762
17.7827941003892,1000,0.840708584220777,1.41500534061437,0.450469258043395,8.35654115529823,9.48997999130594,0.0171286226810853,17.1286226810853,0.0257087201078413
0.0177827941003892,1000,0.753212813529655,1.76118453806301,0.560652309909175,0.0316253427748049,1.06351475384916,0.00173485765343627,1.73485765343627,0.0140448438764796
1.77827941003892,1000,0.928206848502915,0.950101868226433,0.302512962164995,3.52017957453397,0.962149889082864,1.68813659491984e-05,0.0168813659491984,0.0513236025617266
0.421696503428582,1000,0.611024025075786,2.21100879735307,0.703825092173847,0.572435562624397,0.943881268772605,0.00129719885244749,1.29719885244749,0.00499711784667688
42.1696503428582,1000,0.786023456122654,1.63995384377102,0.522065934576152,8.94687038636468,0.987974389217676,1.29880888573143e-05,0.0129880888573143,0.0175889695790412
0.0421696503428582,1000,0.698523373969974,1.94653706899196,0.619646108846975,0.0676443919862372,0.771768098248428,0.000129821119468398,0.129821119468398,0.00959544144716638
4.21696503428582,1000,0.8735207583509,1.26091558750394,0.401427926134374,5.17034442936974,6.91027447827689,0.012712841562032,12.712841562032,0.0326606301922554
1.33352143216332,1000,0.654776245702966,2.0829707709764,0.663072794111899,1.71894933376742,0.805475433953484,4.0962135198078e-05,0.040962135198078,0.00698576351843445
0.0133352143216332,1000,0.829776820392792,1.46275382386766,0.465670065564352,0.0285558012142057,1.8539698387529,0.00407458215314439,4.07458215314439,0.0238016953751313
13.3352143216332,1000,0.742274039154394,1.79978433825198,0.572937230529693,8.05263856102375,44.5548952988044,0.0411395478116083,41.1395478116083,0.0130265528143136
0.133352143216332,1000,0.917272611934109,1.01986162662572,0.324715490542691,0.39242972904881,0.940509917051384,0.000399082565722433,0.399082565722433,0.0464764652553819
23.7137370566166,1000,0.632898094811057,2.14794701735468,0.683752619982141,9.07604405680514,0.979805290269244,0.000728494047594168,0.728494047594168,0.0059236963593391
0.237137370566166,1000,0.807900303453783,1.55388147613243,0.494672341053944,0.459851112947376,185.571615114593,0.0728101180063192,72.8101180063192,0.0204426851887939
2.37137370566166,1000,0.720401239140363,1.8745930755895,0.596748845971331,2.98283252200414,3.41703559595452,0.00730932386414436,7.30932386414436,0.0111917923606125
0.0237137370566166,1000,0.895401425695352,1.14672714260691,0.365092131987889,0.0644832223211852,0.906586938459161,7.10662721658046e-05,0.0710662721658046,0.0387007172358221
0.0749894209332456,1000,0.676649940862937,2.01590825028865,0.641726900831093,0.115803108675153,24.4068081765532,0.0230570056443314,23.0570056443314,0.00820301631170676
7.49894209332456,1000,0.851646220364388,1.36557481590367,0.434737271143878,6.0460328518408,0.96858629102935,0.000227665344736738,0.227665344736738,0.0278023578162533
0.749894209332456,1000,0.764151585782083,1.7217195774023,0.548092104564509,1.20828535933394,0.844898075005516,2.3131182968656e-05,0.023131182968656,0.0151401826132535
74.9894209332456,1000,0.939149174211185,0.874767707268734,0.278546288356709,8.92069132247425,1.22797203405111,0.00226846082614994,2.26846082614994,0.0570885555956231
64.9381631576211,1000,0.605556491291712,2.22649379055725,0.708754392673368,13.0024481726803,6.55638596205291,0.0149868591048033,14.9868591048033,0.0047842707165135
0.649381631576211,1000,0.780556902081989,1.66077004754512,0.52869260331987,1.09545957883895,0.852827866976583,0.000150059177966951,0.150059177966951,0.016941484295086
6.49381631576211,1000,0.693056181269945,1.96410771475857,0.625239417319052,5.41550768296394,0.913717248937669,1.49860306318008e-05,0.0149860306318008,0.00922928007079129
