Pe, Sh
0.019175120209554274, 10.245464247598719
0.19044163648730855, 10.298826040554964
1.8914101456267867, 10.72572038420491
3.753226395120893, 11.526147278548558
18.784927524072973, 13.180362860192101
37.92006277473502, 13.580576307363927
75.24681034404254, 13.92742796157951
113.51663893682243, 14.114194236926359
151.89644826620037, 14.194236926360725
189.7902113919111, 14.327641408751333
376.61087553045786, 14.594450373532549
568.1516675830273, 14.727854855923157
760.242914084261, 14.834578441835644
