Pe, Sh
0.020890097943980175, 12.326574172892208
0.20747428935801288, 12.35325506937033
2.0961799924531235, 13.073639274279616
4.159562163071839, 14.514407684098185
20.81864122738694, 18.30309498399146
41.31154416499513, 19.103521878335112
81.97670840550573, 19.77054429028815
123.6693006221719, 20.09071504802561
165.48170999431795, 20.304162219850586
206.76460233142294, 20.464247598719318
410.29406807469815, 20.837780149413017
618.9658188912591, 21.05122732123799
828.2372555100798, 21.1846318036286
